keys,en
chapter.chapter1.title,Chapter 1
chapter.chapter2.title,Chapter 2
ending.normal_end.title,Normal Ending
chapter1.0,It was a peaceful afternoon. The sun was slowly setting over the hills.
chapter1.1,"Oh, it's [b]you[/b]. I didn't expect to see you here."
chapter1.10,"Wait, really? For me? "
chapter1.11,I... I suppose you can be somewhat thoughtful sometimes. 
chapter1.12,"Wow, you actually managed to calm her down. Impressive!"
chapter1.13,We walked together along the path to the old cottage. The atmosphere was certainly something.
chapter1.14,"As evening approached, the sky began to shift rapidly."
chapter1.16,"The weather suddenly turned terrible, matching her mood."
chapter1.17,"This is all your fault! If you hadn't made me mad, we would be home before the rain!"
chapter1.18,"She ran off into the storm, leaving you completely alone on the path."
chapter1.2,Hey there! We were just heading to the arcade. Want to come?
chapter1.20,"Inside, the fire painted the room in a warm, gentle glow."
chapter1.21,You know... today wasn't [i]completely[/i] awful.
chapter1.22,D-don't get the wrong idea! I just meant the weather was nice! And the snack was... acceptable!
chapter1.23,She quickly turned her head away and walked ahead to hide her blushing face.
chapter1.24,The lamps were lit and we sat in comfortable silence.
chapter1.25,"Well, it's late. See you tomorrow at school."
chapter1.26,She waved briefly and went upstairs. A completely ordinary end to the day.
chapter1.27,[center][b]--- END OF COMPREHENSIVE ENGINE TEST ---[/b][/center]
chapter1.3,Mei! Don't just invite people without asking me! And why are you staring at me like that? Do I have something on my face?!
chapter1.4.c1,"Sorry, I just zoned out for a second."
chapter1.4.c2,I was just admiring your... [i]unique[/i] fashion sense.
chapter1.4.c3,I bought you a snack from the convenience store!
chapter1.5,Wh-what? You zoned out?
chapter1.6,[color=gray]*sigh*[/color] You are always so spacey. Try to pay more attention to your surroundings!
chapter1.7,[color=red]EXCUSE ME?![/color] What exactly is wrong with my clothes?!
chapter1.8,"Calm down, Hana. I think it was a compliment... probably."
chapter1.9,You have exactly [b]three seconds[/b] to run before I kick you!
char.mei.name,Mei
char.hana.name,Hana
